id,attribute_id/id,name
product_attribute_value_02m,boxwise_WMS.product_attribute_AG,0-2 months
product_attribute_value_36m,boxwise_WMS.product_attribute_AG,3-6 months
product_attribute_value_712m,boxwise_WMS.product_attribute_AG,7-12 months
product_attribute_value_1318m,boxwise_WMS.product_attribute_AG,13-18 months
product_attribute_value_1924m,boxwise_WMS.product_attribute_AG,19-24 months
product_attribute_value_23y,boxwise_WMS.product_attribute_AG,2-3 years
product_attribute_value_45y,boxwise_WMS.product_attribute_AG,4-5 years
product_attribute_value_68y,boxwise_WMS.product_attribute_AG,6-8 years
product_attribute_value_912y,boxwise_WMS.product_attribute_AG,9-12 years
product_attribute_value_1315y,boxwise_WMS.product_attribute_AG,13-15 years
product_attribute_value_aga,boxwise_WMS.product_attribute_AG,Adult
product_attribute_value_age,boxwise_WMS.product_attribute_AG,Everyone
product_attribute_value_75B,boxwise_WMS.product_attribute_BS,75B
product_attribute_value_80B,boxwise_WMS.product_attribute_BS,80B
product_attribute_value_85B,boxwise_WMS.product_attribute_BS,85B
product_attribute_value_90b,boxwise_WMS.product_attribute_BS,90b
product_attribute_value_95B,boxwise_WMS.product_attribute_BS,95B
product_attribute_value_100C,boxwise_WMS.product_attribute_BS,100C
product_attribute_value_D,boxwise_WMS.product_attribute_BS,D+ (big)
product_attribute_value_Size1,boxwise_WMS.product_attribute_DS,Size 1
product_attribute_value_Size2,boxwise_WMS.product_attribute_DS,Size 2 (3-5 kg)
product_attribute_value_Size3,boxwise_WMS.product_attribute_DS,Size 3 (6-9 kg)
product_attribute_value_Size4,boxwise_WMS.product_attribute_DS,Size 4 (10-18 kg)
product_attribute_value_Size5,boxwise_WMS.product_attribute_DS,Size 5
product_attribute_value_Size6,boxwise_WMS.product_attribute_DS,Size 6
product_attribute_value_Onesize,boxwise_WMS.product_attribute_CS,Onesize
product_attribute_value_S,boxwise_WMS.product_attribute_CS,S
product_attribute_value_M,boxwise_WMS.product_attribute_CS,M
product_attribute_value_L,boxwise_WMS.product_attribute_CS,L
product_attribute_value_XL,boxwise_WMS.product_attribute_CS,XL
product_attribute_value_ss19,boxwise_WMS.product_attribute_SS,19
product_attribute_value_ss20,boxwise_WMS.product_attribute_SS,20
product_attribute_value_ss21,boxwise_WMS.product_attribute_SS,21
product_attribute_value_ss22,boxwise_WMS.product_attribute_SS,22
product_attribute_value_ss23,boxwise_WMS.product_attribute_SS,23
product_attribute_value_ss24,boxwise_WMS.product_attribute_SS,24
product_attribute_value_ss25,boxwise_WMS.product_attribute_SS,25
product_attribute_value_ss26,boxwise_WMS.product_attribute_SS,26
product_attribute_value_ss27,boxwise_WMS.product_attribute_SS,27
product_attribute_value_ss28,boxwise_WMS.product_attribute_SS,28
product_attribute_value_ss29,boxwise_WMS.product_attribute_SS,29
product_attribute_value_ss30,boxwise_WMS.product_attribute_SS,30
product_attribute_value_ss31,boxwise_WMS.product_attribute_SS,31
product_attribute_value_ss32,boxwise_WMS.product_attribute_SS,32
product_attribute_value_ss33,boxwise_WMS.product_attribute_SS,33
product_attribute_value_ss34,boxwise_WMS.product_attribute_SS,34
product_attribute_value_ss35,boxwise_WMS.product_attribute_SS,35
product_attribute_value_ss36,boxwise_WMS.product_attribute_SS,36
product_attribute_value_ss37,boxwise_WMS.product_attribute_SS,37
product_attribute_value_ss38,boxwise_WMS.product_attribute_SS,38
product_attribute_value_ss39,boxwise_WMS.product_attribute_SS,39
product_attribute_value_ss40,boxwise_WMS.product_attribute_SS,40
product_attribute_value_ss41,boxwise_WMS.product_attribute_SS,41
product_attribute_value_ss42,boxwise_WMS.product_attribute_SS,42
product_attribute_value_ss43,boxwise_WMS.product_attribute_SS,43
product_attribute_value_ss44,boxwise_WMS.product_attribute_SS,44
product_attribute_value_ss45,boxwise_WMS.product_attribute_SS,45
product_attribute_value_ss46,boxwise_WMS.product_attribute_SS,46 and bigger
product_attribute_value_gm,boxwise_WMS.product_attribute_G,Male
product_attribute_value_gf,boxwise_WMS.product_attribute_G,Female
product_attribute_value_gu,boxwise_WMS.product_attribute_G,Unisex
product_attribute_value_CON1,boxwise_WMS.product_attribute_CON,New
product_attribute_value_CON2,boxwise_WMS.product_attribute_CON,Used
