id,name,sale_ok,purchase_ok,type,categ_id/id
boxwise_wms.product_template_clsumadtop,Top,TRUE,TRUE,product,boxwise_wms.product_category_clsumad
boxwise_wms.product_template_clsumadts,T-shirt,TRUE,TRUE,product,boxwise_wms.product_category_clsumad
boxwise_wms.product_template_clsumadtr,Trousers,TRUE,TRUE,product,boxwise_wms.product_category_clsumad
boxwise_wms.product_template_clsumadsh,Shorts,TRUE,TRUE,product,boxwise_wms.product_category_clsumad
boxwise_wms.product_template_clsumadjo,Joggers,TRUE,TRUE,product,boxwise_wms.product_category_clsumad
boxwise_wms.product_template_clsumadsk,Skirt,TRUE,TRUE,product,boxwise_wms.product_category_clsumad
boxwise_wms.product_template_clsumaddr,Dress,TRUE,TRUE,product,boxwise_wms.product_category_clsumad
boxwise_wms.product_template_clsumadpa,Pajamas,TRUE,TRUE,product,boxwise_wms.product_category_clsumad
boxwise_wms.product_template_clsumadund,Underwear,TRUE,TRUE,product,boxwise_wms.product_category_clsumad
boxwise_wms.product_template_clsumadso,Socks,TRUE,TRUE,product,boxwise_wms.product_category_clsumad

boxwise_wms.product_template_clsumchtop,Top,TRUE,TRUE,product,boxwise_wms.product_category_clsumch
boxwise_wms.product_template_clsumchts,T-shirt,TRUE,TRUE,product,boxwise_wms.product_category_clsumch
boxwise_wms.product_template_clsumchtr,Trousers,TRUE,TRUE,product,boxwise_wms.product_category_clsumch
boxwise_wms.product_template_clsumchsh,Shorts,TRUE,TRUE,product,boxwise_wms.product_category_clsumch
boxwise_wms.product_template_clsumchjo,Joggers,TRUE,TRUE,product,boxwise_wms.product_category_clsumch
boxwise_wms.product_template_clsumchsk,Skirt,TRUE,TRUE,product,boxwise_wms.product_category_clsumch
boxwise_wms.product_template_clsumchdr,Dress,TRUE,TRUE,product,boxwise_wms.product_category_clsumch
boxwise_wms.product_template_clsumchpa,Pajamas,TRUE,TRUE,product,boxwise_wms.product_category_clsumch
boxwise_wms.product_template_clsumchund,Underwear,TRUE,TRUE,product,boxwise_wms.product_category_clsumch
boxwise_wms.product_template_clsumchso,Socks,TRUE,TRUE,product,boxwise_wms.product_category_clsumch

boxwise_wms.product_template_clsumbabpa,Pajamas,TRUE,TRUE,product,boxwise_wms.product_category_clsumbab
boxwise_wms.product_template_clsumbabso,Socks,TRUE,TRUE,product,boxwise_wms.product_category_clsumbab
boxwise_wms.product_template_clsumbabcl,Clothes,TRUE,TRUE,product,boxwise_wms.product_category_clsumbab

boxwise_wms.product_template_clwinadco,Coat,TRUE,TRUE,product,boxwise_wms.product_category_clwinad
boxwise_wms.product_template_clwinadsw,Sweater,TRUE,TRUE,product,boxwise_wms.product_category_clwinad
boxwise_wms.product_template_clwinadtop,Top,TRUE,TRUE,product,boxwise_wms.product_category_clwinad
boxwise_wms.product_template_clwinadtr,Trousers,TRUE,TRUE,product,boxwise_wms.product_category_clwinad
boxwise_wms.product_template_clwinadjo,Joggers,TRUE,TRUE,product,boxwise_wms.product_category_clwinad
boxwise_wms.product_template_clwinaddr,Dress,TRUE,TRUE,product,boxwise_wms.product_category_clwinad
boxwise_wms.product_template_clwinadpa,Pajamas,TRUE,TRUE,product,boxwise_wms.product_category_clwinad
boxwise_wms.product_template_clwinadund,Underwear,TRUE,TRUE,product,boxwise_wms.product_category_clwinad
boxwise_wms.product_template_clwinadso,Socks,TRUE,TRUE,product,boxwise_wms.product_category_clwinad
boxwise_wms.product_template_clwinadsc,Scarve,TRUE,TRUE,product,boxwise_wms.product_category_clwinad
boxwise_wms.product_template_clwinadha,Hat,TRUE,TRUE,product,boxwise_wms.product_category_clwinad
boxwise_wms.product_template_clwinadgl,Gloves,TRUE,TRUE,product,boxwise_wms.product_category_clwinad

boxwise_wms.product_template_clwinchco,Coat,TRUE,TRUE,product,boxwise_wms.product_category_clwinch
boxwise_wms.product_template_clwinchsw,Sweater,TRUE,TRUE,product,boxwise_wms.product_category_clwinch
boxwise_wms.product_template_clwinchtop,Top,TRUE,TRUE,product,boxwise_wms.product_category_clwinch
boxwise_wms.product_template_clwinchtr,Trousers,TRUE,TRUE,product,boxwise_wms.product_category_clwinch
boxwise_wms.product_template_clwinchjo,Joggers,TRUE,TRUE,product,boxwise_wms.product_category_clwinch
boxwise_wms.product_template_clwinchdr,Dress,TRUE,TRUE,product,boxwise_wms.product_category_clwinch
boxwise_wms.product_template_clwinchpa,Pajamas,TRUE,TRUE,product,boxwise_wms.product_category_clwinch
boxwise_wms.product_template_clwinchund,Underwear,TRUE,TRUE,product,boxwise_wms.product_category_clwinch
boxwise_wms.product_template_clwinchso,Socks,TRUE,TRUE,product,boxwise_wms.product_category_clwinch
boxwise_wms.product_template_clwinchsc,Scarve,TRUE,TRUE,product,boxwise_wms.product_category_clwinch
boxwise_wms.product_template_clwinchha,Hat,TRUE,TRUE,product,boxwise_wms.product_category_clwinch
boxwise_wms.product_template_clwinchgl,Gloves,TRUE,TRUE,product,boxwise_wms.product_category_clwinch

boxwise_wms.product_template_clwinbabco,Coat,TRUE,TRUE,product,boxwise_wms.product_category_clwinbab
boxwise_wms.product_template_clwinbabpa,Pajamas,TRUE,TRUE,product,boxwise_wms.product_category_clwinbab
boxwise_wms.product_template_clwinbabso,Socks,TRUE,TRUE,product,boxwise_wms.product_category_clwinbab
boxwise_wms.product_template_clwinbabcl,Clothes,TRUE,TRUE,product,boxwise_wms.product_category_clwinbab
boxwise_wms.product_template_clwinbaha,Hat,TRUE,TRUE,product,boxwise_wms.product_category_clwinbab
boxwise_wms.product_template_clwinbagl,Gloves,TRUE,TRUE,product,boxwise_wms.product_category_clwinbab

boxwise_wms.product_template_clspradco,Coat,TRUE,TRUE,product,boxwise_wms.product_category_clsprad
boxwise_wms.product_template_clspradrai,Raincoat,TRUE,TRUE,product,boxwise_wms.product_category_clsprad

boxwise_wms.product_template_clsprchco,Coat,TRUE,TRUE,product,boxwise_wms.product_category_clsprch
boxwise_wms.product_template_clsprchrai,Raincoat,TRUE,TRUE,product,boxwise_wms.product_category_clsprch

boxwise_wms.product_template_clsprbabco,Coat,TRUE,TRUE,product,boxwise_wms.product_category_clsprbab

boxwise_wms.product_template_shsumadtr,Trainers,TRUE,TRUE,product,boxwise_wms.product_category_shsumad
boxwise_wms.product_template_shsumadsh,Closed shoes,TRUE,TRUE,product,boxwise_wms.product_category_shsumad
